result,reason,unit_id,unit_type,serial,model,qrcode,region,site_num,visit_num,uar_link,photo_url,photo_description,completed_time
BAD,"The cube separator appears to be missing or removed from the machine, leaving an empty gap between the evaporator and bin area.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/42906/653576064,https://storage.googleapis.com/filtrex_main_site/Longhorn/imgs/5485.01_52894198745_vaddp3.jpg,INSIDE UNIT AFTER CLEANING,2022-12-02 00:00:00
BAD,"The cube separator shows significant ice buildup and frost accumulation on the grid dividers, indicating improper defrost cycles or airflow issues.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,2.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/54633/832216896,https://storage.googleapis.com/filtrex_main_site/Longhorn/imgs/5485.02_3878813_pic_evapC.jpg,Evaporator Photo 2,2023-02-21 00:00:00
BAD,"The cube separator grid shows visible ice buildup and blockage in multiple cells, which will impede proper ice cube separation and flow.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,6.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/60808/926290368,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/6/QRSF58161/field_45_photo.jpg,Evap. After Cleaning,2023-08-09 00:00:00
BAD,"Cube separator shows significant buildup of mineral deposits and debris, with visible corrosion and deterioration of the plastic grid dividers affecting proper ice cube separation.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,8.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/62714/955302528,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/8/QRSF58161/field_17_photo.jpg?54462,Ice Machine Components In Cleaner,2023-10-11 00:00:00
BAD,"The cube separator shows visible ice buildup and mineral deposits on the dividers, indicating poor maintenance and potential blockage of ice flow paths.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,8.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/62714/955302528,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/8/QRSF58161/field_45_photo.jpg?47562,Evap. After Cleaning,2023-10-11 00:00:00
BAD,"Cube separator shows significant buildup and contamination with dark deposits/mold on the grid dividers, indicating poor maintenance and potential hygiene issues.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,9.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/64849/987894912,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/9/QRSF58161/field_17_photo.jpg?4433,Ice Machine Components In Cleaner,2023-12-04 00:00:00
BAD,"The cube separator appears to be missing or removed from its proper position between the evaporator and bin, leaving only the metal evaporator coils and bin structure visible.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,9.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/64849/987894912,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/9/QRSF58161/field_45_photo.jpg?46821,Evap. After Cleaning,2023-12-04 00:00:00
BAD,"The cube separators show significant mineral buildup and scale accumulation, indicating poor maintenance and reduced functionality for properly separating ice cubes.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,16.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/73401/1118140992,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/16/QRSF58161/field_17_photo.jpg?33444,Before cleaning,2024-08-19 00:00:00
BAD,"The cube separator shows significant mineral buildup/scaling and visible deterioration, indicating inadequate maintenance and potential functional impairment.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,16.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/73401/1118140992,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/16/QRSF58161/field_368_photo.jpg?83678,Components in cleaning solution,2024-08-19 00:00:00
BAD,The cube separator grid appears cracked or damaged with visible splitting along the divider sections.,180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,16.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/73401/1118140992,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/16/QRSF58161/field_285_photo.jpg?21788,Before Cleaning drop zone,2024-08-19 00:00:00
BAD,"The cube separator shows significant mineral buildup and scale accumulation on its surface, indicating poor maintenance and potential ice quality issues.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,16.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/73401/1118140992,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/16/QRSF58161/field_313_photo.jpg?94082,Before evap cleaning,2024-08-19 00:00:00
BAD,"Cube separator shows significant mineral buildup and scaling on the surface, indicating inadequate cleaning and maintenance that can impair ice separation functionality.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,17.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/75375/1148264256,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/17/QRSF58161/field_282_photo.jpg?14091,Ice Machine Cleaned and Disassembled in cleaner,2024-10-16 00:00:00
BAD,The cube separator grid shows visible damage with broken or missing divider sections on the right side of the component.,180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,17.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/75375/1148264256,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/17/QRSF58161/field_368_photo.jpg?29703,Components in cleaning solution,2024-10-16 00:00:00
BAD,"Cube separator shows visible damage and deterioration with cracked/broken divider segments and mineral buildup, indicating it requires replacement.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,17.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/75375/1148264256,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/17/QRSF58161/field_375_photo.jpg?3250,Ice thickness probe adjustment,2024-10-16 00:00:00
BAD,"Cube separator shows significant mineral buildup and scale deposits on the grid dividers, indicating poor maintenance and potential ice flow obstruction.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,17.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/75375/1148264256,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/17/QRSF58161/field_388_photo.jpg?40193,Ice thickness probe position after adjustment,2024-10-16 00:00:00
BAD,"The cube separator is damaged with visible cracks and deterioration in the plastic grid structure, compromising its ability to properly separate ice cubes.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,18.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/77915/1186905984,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/18/QRSF58161/field_4_photo.jpg?41889,Drop Zone Wiped Down,2024-12-12 00:00:00
BAD,"The cube separator appears to have significant mineral buildup and scale deposits on its surface, indicating inadequate cleaning and maintenance.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_390_photo.jpg?65447,Water Curtain Tab condition prior removal,2025-02-24 00:00:00
BAD,"Multiple cube separators are damaged, cracked, and improperly positioned in the bin rather than properly installed between the evaporator and bin.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_285_photo.jpg?71275,Before Cleaning drop zone,2025-02-24 00:00:00
BAD,"The cube separator shows significant mineral scale buildup and discoloration, indicating poor maintenance and potential operational issues.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_313_photo.jpg?32045,Before evap cleaning,2025-02-24 00:00:00
BAD,"The cube separator shows visible damage with a broken or cracked section on the left divider, compromising its ability to properly separate ice cubes.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_17_photo.jpg?74276,Before cleaning,2025-02-24 00:00:00
BAD,"Cube separator is cracked, damaged, and improperly positioned with visible wear and deterioration affecting its function.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_368_photo.jpg?47405,Components in cleaning solution,2025-02-24 00:00:00
BAD,"Multiple cube separator components are disassembled and laid out separately, indicating they have been removed from the machine and are not properly installed in their operational position.",180417,Ice Machine,"""1101218425""","""MC1Y2176C161""",QRSF58161,LHFLORIDA,5485,19.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/80024/1219004544,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5485/Visit/19/QRSF58161/field_282_photo.jpg?17986,Ice Machine Cleaned and Disassembled,2025-02-24 00:00:00
