result,anomaly_score,detect_confidence,unit_id,unit_type,serial,model,qrcode,region,site_num,visit_num,uar_link,photo_url,photo_description,completed_time
BAD,-0.037305,0.8864,182791,Ice Machine,J10215K,KM-1900SRK3,QRSF58780,LHFLORIDA,5611,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/42919/653822976,https://storage.googleapis.com/filtrex_main_site/Longhorn/imgs/5611.01_18281709079_vaddp3.jpg,INSIDE UNIT AFTER CLEANING,2022-12-12 00:00:00
BAD,-0.02294,0.9183,209144,Ice Machine,N10965k,Km-2600srjz3,QRSTemp52925,Hoshizaki - Oklahoma,6503,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/71147/1083820224,https://storage.googleapis.com/filtrex_main_site//rebuild/Hoshizaki-Cares/6503/Visit/1/QRSTemp52925/field_228_photo.jpg,Cube Separator And Guide Mounting,2024-05-29 00:00:00
BAD,-0.02259,0.9896,233703,Ice Machine,M10628K,KMS-2000MLJ,QRC235366,CHEDDARS,2133,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/84668/128888064,https://storage.googleapis.com/filtrex_main_site//rebuild/Cheddars/2133/Visit/1/QRC235366/problemphotos/problem_photo_0.jpg?34067,Ice machine frozen ,2025-06-02 00:00:00
BAD,-0.019236,0.9889,236636,Ice Machine,Q10639D,KM-1900SRJZ23,QRSF68998,LHNorthCArolina,5713,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/88625/134937408,https://storage.googleapis.com/filtrex_main_site//rebuild/Longhorn/5713/Visit/1/QRSF68998/field_228_photo.jpg?53109,Cube Separator And Guide Mounting,2025-11-24 00:00:00
BAD,-0.015173,0.885,222079,Ice Machine,P21320E,KM-2600SRJ23,QRSF72068,Olive Garden,6509,2.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/84371/128517696,https://storage.googleapis.com/filtrex_main_site//rebuild/Olive-Garden/6509/Visit/2/QRSF72068/field_424_photo.jpg?34327,Ice machine components Re-Assembled,2025-06-10 00:00:00
BAD,-0.014383,0.8862,235263,Ice Machine,P01112c,Km-1301srjz,QRSF62814,Olive Garden,1246,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/86686/131974464,https://storage.googleapis.com/filtrex_main_site//rebuild/Olive-Garden/1246/Visit/1/QRSF62814/field_281_photo.jpg?99949,Water stop,2025-08-15 00:00:00
BAD,-0.014178,0.8939,194478,Ice Machine,N00484B,KM-2600SRJZ3,QRS214827,Hoshizaki - California,6494,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/72743/1108141056,https://storage.googleapis.com/filtrex_main_site//rebuild/Hoshizaki-Cares/6494/Visit/1/QRS214827/field_282_photo.jpg,Ice Machine Cleaned and Disassembled,2024-07-02 00:00:00
BAD,-0.012473,0.9542,234555,Ice Machine,P30332K,KM-2200SRJZ3,QRSF67955,Yard-House,8535,2.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/88980/135554688,https://storage.googleapis.com/filtrex_main_site//rebuild/EddieVs/8535/Visit/2/QRSF67955/problemphotos/problem_photo_1.jpg?93130,Evaporator ice buildup ,2025-12-10 00:00:00
BAD,-0.012326,0.8772,194469,Ice Machine,N00596E,KM-2600SRJZ3,QRSF77662,Olive Garden,6487,3.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/86305/131480640,https://storage.googleapis.com/filtrex_main_site//rebuild/Olive-Garden/6487/Visit/3/QRSF77662/field_388_photo.jpg,Ice thickness probe position after adjustment,2025-08-30 00:00:00
BAD,-0.011206,0.9033,232275,Ice Machine,N00459A,KM-2600SRJZ3,QRSF61499,Olive Garden,6512,1.0,https://filtrexone.filtrexservicegroup.com/oneTimeUAR/82713/125925120,https://storage.googleapis.com/filtrex_main_site//rebuild/Olive-Garden/6512/Visit/1/QRSF61499/field_442_photo.jpg,Last Error Code Log,2025-10-03 00:00:00
