result,anomaly_score,threshold,detect_confidence,qr_code,unit_history_link,brand,model,serial,unit_type,region,site_name,site_number,first_visit_date,first_visit_photo_url,photo_description
DEFECT,-0.011348,-0.007618,0.9583,QRS201359,https://filtrexone.filtrexservicegroup.com/unit/history/QRS201359,Hoshizaki,Km-1601srj,H00221c,Ice Machine,BWW's -Colorado - IM,,127,2025-03-28,https://storage.googleapis.com/filtrex_main_site//rebuild/BWW/127/Visit/1/QRS201359/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.014968,-0.007618,0.9683,QRS226582,https://filtrexone.filtrexservicegroup.com/unit/history/QRS226582,Hoshizaki,F-801MAJ-C,L12178J,Ice Machine,CAVA,,10312,2024-07-11,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10312/Visit/2/QRS226582/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.010215,-0.007618,0.9339,QRS94637,https://filtrexone.filtrexservicegroup.com/unit/history/QRS94637,Hoshizaki,"""F 1002MAJ C""","""K11054K""",Ice Machine,CAVA,,10230,2024-09-04,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10230/Visit/8/QRS94637/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.014191,-0.007618,0.9297,QRS160830,https://filtrexone.filtrexservicegroup.com/unit/history/QRS160830,Hoshizaki,"""F 801MAJ C""","""L12263K""",Ice Machine,CAVA,,10186,2024-09-11,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10186/Visit/8/QRS160830/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.017908,-0.007618,0.9643,QRS81668,https://filtrexone.filtrexservicegroup.com/unit/history/QRS81668,Hoshizaki,F-801MAJ-C,N23206J,Ice Machine,CAVA,,10364,2024-09-17,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10364/Visit/2/QRS81668/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.009408,-0.007618,0.9257,QRS185962,https://filtrexone.filtrexservicegroup.com/unit/history/QRS185962,Hoshizaki,F-801MAJ-C,N02964E,Ice Machine,CAVA,,10361,2024-09-19,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10361/Visit/2/QRS185962/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.023136,-0.007618,0.8681,QRS166546,https://filtrexone.filtrexservicegroup.com/unit/history/QRS166546,Hoshizaki,F-801MAJ-C,L12170J,Ice Machine,CAVA,,10338,2024-10-19,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10338/Visit/6/QRS166546/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.047245,-0.007618,0.9637,QRC235940,https://filtrexone.filtrexservicegroup.com/unit/history/QRC235940,Hoshizaki,F-801MAJ-C,P03388B,Ice Machine,CAVA,,10450,2025-07-15,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10450/Visit/1/QRC235940/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.012837,-0.007618,0.9351,QRC236366,https://filtrexone.filtrexservicegroup.com/unit/history/QRC236366,Hoshizaki,F-801MAJ-C,Q03902D,Ice Machine,CAVA,MIDTOWN CENTRAL,10578,2025-12-10,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10578/Visit/1/QRC236366/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.010603,-0.007618,0.8907,QRC233426,https://filtrexone.filtrexservicegroup.com/unit/history/QRC233426,Hoshizaki,F-801MAJ-C,Q14090G YOM: 2025,Ice Machine,CAVA,OGLETHORPE MALL,10457,2025-12-03,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10457/Visit/1/QRC233426/field_285_photo.jpg,before cleaning drop zone
DEFECT,-0.013462,-0.007618,0.9029,QRS159794,https://filtrexone.filtrexservicegroup.com/unit/history/QRS159794,Hoshizaki,F801MAJC,L12188J,Ice Machine,CAVA Alabama,,10213,2024-09-18,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10213/Visit/10/QRS159794/field_285_photo.jpg,before cleaning drop zone
