result,quality_score,threshold,detect_confidence,qr_code,unit_history_link,brand,model,serial,unit_type,region,site_name,site_number,first_visit_date,first_visit_photo_url,photo_description,defect_type
DEFECT,0.583337,0.4556,0.9036,QRSF64445,https://filtrexone.filtrexservicegroup.com/unit/history/QRSF64445,Hoshizaki,KML-700MAJ,L03932D,Ice Machine,Arby's - ALABAMA - IM,,7425,2025-05-07,https://storage.googleapis.com/filtrex_main_site//rebuild/Arbys/7425/Visit/1/QRSF64445/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.628744,0.4556,0.9192,QRS228016,https://filtrexone.filtrexservicegroup.com/unit/history/QRS228016,Hoshizaki,KMO-631MRH,U00331D,Ice Machine,Arby's - North Carolina,,6445,2025-04-10,https://storage.googleapis.com/filtrex_main_site//rebuild/Arbys/6445/Visit/1/QRS228016/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.959813,0.4556,0.9101,QRS150330,https://filtrexone.filtrexservicegroup.com/unit/history/QRS150330,Hoshizaki,KM-350MAJ,K04637A,Ice Machine,BRUEGGER'S BAGEL - NEBRASKA,Davenport,3757,2026-01-09,https://storage.googleapis.com/filtrex_main_site//rebuild/BagelBrands/3757/Visit/1/QRS150330/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.963399,0.4556,0.8806,QRS150356,https://filtrexone.filtrexservicegroup.com/unit/history/QRS150356,Hoshizaki,KM-520MAJ,M03792C,Ice Machine,BRUEGGER'S BAGELS - IOWA,Clive,3724,2026-01-12,https://storage.googleapis.com/filtrex_main_site//rebuild/BagelBrands/3724/Visit/1/QRS150356/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.726686,0.4556,0.8974,QRSF61738,https://filtrexone.filtrexservicegroup.com/unit/history/QRSF61738,Hoshizaki,KM-1601SRJ,H00196B,Ice Machine,BWW's - Wisconsin,,459,2025-03-15,https://storage.googleapis.com/filtrex_main_site//rebuild/BWW/459/Visit/1/QRSF61738/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.764826,0.4556,0.9911,QRS94637,https://filtrexone.filtrexservicegroup.com/unit/history/QRS94637,Hoshizaki,"""F 1002MAJ C""","""K11054K""",Ice Machine,CAVA,,10230,2024-09-04,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10230/Visit/8/QRS94637/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.862795,0.4556,0.8614,QRS185935,https://filtrexone.filtrexservicegroup.com/unit/history/QRS185935,Hoshizaki,F-801MAJ-C,N03032F,Ice Machine,CAVA,,10347,2024-09-05,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10347/Visit/2/QRS185935/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.9216,0.4556,0.867,QRS107827,https://filtrexone.filtrexservicegroup.com/unit/history/QRS107827,Hoshizaki,"""F 801MAJ C""","""L12169J""",Ice Machine,CAVA,,10210,2024-09-07,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10210/Visit/10/QRS107827/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.901663,0.4556,0.9736,QRS160742,https://filtrexone.filtrexservicegroup.com/unit/history/QRS160742,Hoshizaki,"""F 801MAJ C""","""L22348M""",Ice Machine,CAVA,,10182,2024-09-09,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10182/Visit/8/QRS160742/field_285_photo.jpg,before cleaning drop zone,
DEFECT,0.854642,0.4556,0.9897,QRS107864,https://filtrexone.filtrexservicegroup.com/unit/history/QRS107864,Hoshizaki,"""F 801MAJ C""","""M02395B""",Ice Machine,CAVA,,10207,2024-09-10,https://storage.googleapis.com/filtrex_main_site//rebuild/Cava/10207/Visit/10/QRS107864/field_285_photo.jpg,before cleaning drop zone,
